country,pollutant_name,count,mean,std,min,max
BELGIUM,PM2.5,3256,12.06091318591318591318591308,8.214293425864273,1.5000000000000000000000,80.4000000000000000000000
CZECH,PM10,4341,18.57675573877773941675491057,10.342206131891624,2.8147058823529411764706,91.5314285714285714285714
CZECH,PM2.5,4341,14.42377835815033465344453614,9.896242053788981,1.6750000000000000000000,83.8800000000000000000000
GERMANY,PM10,4599,17.24085855314944577260478545,8.17987550191609,2.8278384716981132075472,74.7664511284403669724771
GERMANY,PM2.5,4598,10.99236763127964413323286953,6.612242274241562,1.7159798775000000000000,63.0084024920634920634921
ITALY,PM10,4663,23.83649387642422490342824083,9.75706540034504,8.2667470000000000000000,92.3340133942161339421613
ITALY,PM2.5,4663,15.17249506299626389837297866,8.334985684167862,4.0160980540540540540541,70.2684031724137931034483
POLAND,PM10,4424,28.18097199114569779848531322,16.11072028506488,5.5750000000000000000000,169.7308571250000000000000
POLAND,PM2.5,4353,19.76041404473266212277044181,13.029302137405553,4.5307692307692307692308,124.3956940677966101694915
SPAIN,PM10,4353,19.27139804424121417341392899,6.695819987802025,5.7745312500000000000000,116.7476827350427350427350
SPAIN,PM2.5,4353,10.88889789092278796887756288,3.614447332064511,4.6058668888888888888889,66.0465062962962962962963
SWEDEN,PM10,4663,16.18961153640811220138314557,9.235029290759634,3.2833333333333333333333,101.8724918181818181818182
SWEDEN,PM2.5,4311,4.95964158162137831240127701,3.3381715064932482,0.5000000000000000000000,36.3633333333333333333333
UK,PM10,2522,17.97227644458762886597938132,8.019200431499941,2.7970000000000000000000,79.5420000000000000000000
UK,PM2.5,2515,9.21444024927293382561772211,6.049874735394542,2.4480000000000000000000,49.3020000000000000000000
