country,pollutant_name,high_risk_days,total_days,risk_days_pct
BELGIUM,PM2.5,366,3286,11.138161898965308
CZECH,PM10,490,4371,11.210249370853353
CZECH,PM2.5,1320,4371,30.199039121482496
GERMANY,PM10,591,4629,12.767336357744652
GERMANY,PM2.5,1191,4628,25.73465859982714
ITALY,PM10,2465,4693,52.525037289580226
ITALY,PM2.5,3351,4693,71.4042190496484
POLAND,PM10,1887,4454,42.36641221374045
POLAND,PM2.5,2658,4383,60.643394934976044
SPAIN,PM10,1094,4383,24.96007300935432
SPAIN,PM2.5,2208,4383,50.37645448323066
SWEDEN,PM10,741,4693,15.789473684210526
SWEDEN,PM2.5,82,4343,1.8880957863228183
UK,PM10,128,2552,5.015673981191222
UK,PM2.5,216,2545,8.487229862475441
