country,pollutant_name,season_4,risk_days,total_days,risk_pct
BELGIUM,PM2.5,Autumn,67,818,8.190709046454767
BELGIUM,PM2.5,Spring,113,828,13.647342995169081
BELGIUM,PM2.5,Summer,33,828,3.985507246376811
BELGIUM,PM2.5,Winter,153,812,18.842364532019705
CZECH,PM10,Autumn,75,1092,6.868131868131869
CZECH,PM10,Spring,92,1104,8.333333333333332
CZECH,PM10,Summer,19,1104,1.7210144927536233
CZECH,PM10,Winter,304,1071,28.38468720821662
CZECH,PM2.5,Autumn,339,1092,31.043956043956044
CZECH,PM2.5,Spring,319,1104,28.894927536231883
CZECH,PM2.5,Summer,37,1104,3.3514492753623193
CZECH,PM2.5,Winter,625,1071,58.35667600373483
GERMANY,PM10,Autumn,94,1095,8.584474885844749
GERMANY,PM10,Spring,187,1196,15.635451505016723
GERMANY,PM10,Summer,43,1196,3.595317725752508
GERMANY,PM10,Winter,267,1142,23.380035026269702
GERMANY,PM2.5,Autumn,268,1094,24.49725776965265
GERMANY,PM2.5,Spring,380,1196,31.77257525083612
GERMANY,PM2.5,Summer,62,1196,5.183946488294314
GERMANY,PM2.5,Winter,481,1142,42.11908931698774
ITALY,PM10,Autumn,610,1159,52.63157894736842
ITALY,PM10,Spring,434,1196,36.2876254180602
ITALY,PM10,Summer,405,1196,33.8628762541806
ITALY,PM10,Winter,1016,1142,88.96672504378283
ITALY,PM2.5,Autumn,862,1159,74.37446074201898
ITALY,PM2.5,Spring,712,1196,59.53177257525084
ITALY,PM2.5,Summer,650,1196,54.347826086956516
ITALY,PM2.5,Winter,1127,1142,98.68651488616462
POLAND,PM10,Autumn,539,1092,49.358974358974365
POLAND,PM10,Spring,467,1116,41.84587813620072
POLAND,PM10,Summer,47,1104,4.257246376811595
POLAND,PM10,Winter,834,1142,73.02977232924694
POLAND,PM2.5,Autumn,763,1092,69.87179487179486
POLAND,PM2.5,Spring,736,1104,66.66666666666666
POLAND,PM2.5,Summer,219,1104,19.83695652173913
POLAND,PM2.5,Winter,940,1083,86.79593721144968
SPAIN,PM10,Autumn,236,1092,21.611721611721613
SPAIN,PM10,Spring,204,1104,18.478260869565215
SPAIN,PM10,Summer,252,1104,22.82608695652174
SPAIN,PM10,Winter,402,1083,37.119113573407205
SPAIN,PM2.5,Autumn,465,1092,42.582417582417584
SPAIN,PM2.5,Spring,468,1104,42.391304347826086
SPAIN,PM2.5,Summer,514,1104,46.55797101449276
SPAIN,PM2.5,Winter,761,1083,70.26777469990766
SWEDEN,PM10,Autumn,63,1158,5.4404145077720205
SWEDEN,PM10,Spring,491,1196,41.05351170568562
SWEDEN,PM10,Summer,29,1196,2.4247491638795986
SWEDEN,PM10,Winter,158,1143,13.823272090988626
SWEDEN,PM2.5,Autumn,11,1088,1.0110294117647058
SWEDEN,PM2.5,Spring,34,1098,3.096539162112933
SWEDEN,PM2.5,Winter,37,1053,3.513770180436847
UK,PM10,Autumn,10,633,1.579778830963665
UK,PM10,Spring,42,644,6.521739130434782
UK,PM10,Summer,34,644,5.279503105590062
UK,PM10,Winter,42,631,6.656101426307448
UK,PM2.5,Autumn,46,637,7.221350078492936
UK,PM2.5,Spring,83,644,12.888198757763975
UK,PM2.5,Summer,5,633,0.7898894154818324
UK,PM2.5,Winter,82,631,12.995245641838352
