country,pollutant_name,mean,std,min,p25,median,p75,p95,max,n_days
BELGIUM,PM2.5,11.6016801075268817204301,7.165926639564698,1.000000000000000000,7.000000000000000000,9.000000000000000000,14.000000000000000000,27.000000000000000000,39.000000000000000000,14880
CZECH,PM10,17.7335314998507116080019,10.686339468709004,0.600000000000000000,10.000000000000000000,15.000000000000000000,22.400000000000000000,40.000000000000000000,61.400000000000000000,150715
CZECH,PM2.5,13.2035739327283290261835,9.233575809921486,0.600000000000000000,6.900000000000000000,10.800000000000000000,17.000000000000000000,33.000000000000000000,50.200000000000000000,49917
GERMANY,PM10,16.6356822593640938370416,9.48514891801522,0.042316000000000000,9.900000000000000000,14.700000000000000000,21.178900000000000000,35.624200000000000000,56.050720000000000000,601724
GERMANY,PM2.5,10.1272489345389262624938,6.5141764755925,0.018115000000000000,5.500000000000000000,8.500000000000000000,12.980000000000000000,23.650000000000000000,36.730000000000000000,297447
ITALY,PM10,22.2910245183579420968676,13.110481841311227,0.000170000000000000,13.024000000000000000,19.000000000000000000,28.000000000000000000,50.000000000000000000,74.130000000000000000,1722083
ITALY,PM2.5,13.5466169493570344683023,9.288059916403716,0.001000000000000000,7.000000000000000000,11.000000000000000000,17.000000000000000000,34.000000000000000000,50.160000000000000000,877792
POLAND,PM10,25.8670027599905793269551,15.35068210550131,0.200000000000000000,15.090910000000000000,21.600000000000000000,32.100000000000000000,58.760000000000000000,87.600000000000000000,675111
POLAND,PM2.5,18.1947627588934418116674,12.159967282439563,0.250000000000000000,9.800000000000000000,14.518340000000000000,23.000000000000000000,44.800000000000000000,66.300000000000000000,252585
SPAIN,PM10,19.0697956622663326267103,10.330986026414449,0.050000000000000000,12.000000000000000000,17.900000000000000000,24.700000000000000000,38.530000000000000000,64.000000000000000000,404742
SPAIN,PM2.5,10.6421159218474560915315,6.349118836135766,0.100000000000000000,6.000000000000000000,9.400000000000000000,14.000000000000000000,23.000000000000000000,38.000000000000000000,231789
SWEDEN,PM10,14.1550453396488478340614,9.372557631026167,0.069000000000000000,7.500000000000000000,12.000000000000000000,18.100000000000000000,33.600000000000000000,52.900000000000000000,59974
SWEDEN,PM2.5,4.1224889385656761302819,3.0237940577189013,0.038000000000000000,2.000000000000000000,3.373000000000000000,5.380000000000000000,10.535000000000000000,16.400000000000000000,19619
UK,PM10,16.4207863235800482703138,11.128990641751455,0.420000000000000000,8.167000000000000000,13.330000000000000000,22.000000000000000000,38.688000000000000000,64.710000000000000000,12430
UK,PM2.5,8.0205864953296864890301,5.703509985302075,0.040000000000000000,4.042000000000000000,6.266000000000000000,10.292000000000000000,20.333000000000000000,30.910000000000000000,17001
