country,pollutant_name,aqi_category,days,percentage
BELGIUM,PM2.5,Good,69,0.4565907887771308
BELGIUM,PM2.5,Fair,5159,34.13843303335098
BELGIUM,PM2.5,Moderate,8812,58.31127580730545
BELGIUM,PM2.5,Poor,966,6.392271042879831
BELGIUM,PM2.5,Very Poor,94,0.6220222339862361
BELGIUM,PM2.5,Extremely Poor,12,0.07940709370037057
CZECH,PM10,Good,24163,15.794565409228476
CZECH,PM10,Fair,92499,60.4635809207559
CZECH,PM10,Moderate,34082,22.27829235928175
CZECH,PM10,Poor,1890,1.235431387801259
CZECH,PM10,Very Poor,275,0.17975853526208796
CZECH,PM10,Extremely Poor,74,0.048371387670525484
CZECH,PM2.5,Good,2006,3.9297888179289266
CZECH,PM2.5,Fair,13645,26.73079183481566
CZECH,PM2.5,Moderate,29460,57.71265133409082
CZECH,PM2.5,Poor,4701,9.20934059475767
CZECH,PM2.5,Very Poor,931,1.823845159268111
CZECH,PM2.5,Extremely Poor,303,0.593582259138816
GERMANY,PM10,Good,101660,16.70377338339317
GERMANY,PM10,Fair,384997,63.25892820466477
GERMANY,PM10,Moderate,117513,19.308582742501294
GERMANY,PM10,Poor,3981,0.6541188455566419
GERMANY,PM10,Very Poor,364,0.059808907255116214
GERMANY,PM10,Extremely Poor,90,0.01478791662901225
GERMANY,PM2.5,Good,11501,3.795997715998244
GERMANY,PM2.5,Fair,122587,40.46082705947976
GERMANY,PM2.5,Moderate,154164,50.88307033207141
GERMANY,PM2.5,Poor,12864,4.245866847978559
GERMANY,PM2.5,Very Poor,1658,0.547236258857933
GERMANY,PM2.5,Extremely Poor,203,0.06700178561408952
ITALY,PM10,Good,143933,8.206472903752559
ITALY,PM10,Fair,970371,55.32659861246049
ITALY,PM10,Moderate,577266,32.91335404151671
ITALY,PM10,Poor,54115,3.0854166951746285
ITALY,PM10,Very Poor,6444,0.36741061043528234
ITALY,PM10,Extremely Poor,1767,0.10074713666032649
ITALY,PM2.5,Good,19116,2.1232309185783818
ITALY,PM2.5,Fair,231905,25.757892141291045
ITALY,PM2.5,Moderate,539451,59.917296623667426
ITALY,PM2.5,Poor,84373,9.371383254510034
ITALY,PM2.5,Very Poor,21346,2.370918978236772
ITALY,PM2.5,Extremely Poor,4135,0.45927808371634277
POLAND,PM10,Good,24104,3.48989401749001
POLAND,PM10,Fair,354900,51.3841431632594
POLAND,PM10,Moderate,268608,38.89036891179707
POLAND,PM10,Poor,33186,4.804830022586437
POLAND,PM10,Very Poor,6998,1.0132043782938553
POLAND,PM10,Extremely Poor,2884,0.4175595065732322
POLAND,PM2.5,Good,1094,0.4222943631036705
POLAND,PM2.5,Fair,36819,14.212482774327281
POLAND,PM2.5,Moderate,166748,64.36630754918725
POLAND,PM2.5,Poor,38781,14.969833359710647
POLAND,PM2.5,Very Poor,11309,4.365381126452843
POLAND,PM2.5,Extremely Poor,4310,1.6637008272183
SPAIN,PM10,Good,55896,13.72256824336102
SPAIN,PM10,Fair,234830,57.65118614191477
SPAIN,PM10,Moderate,113478,27.85905251037859
SPAIN,PM10,Poor,2642,0.6486157381379671
SPAIN,PM10,Very Poor,315,0.07733306491803923
SPAIN,PM10,Extremely Poor,168,0.04124430128962092
SPAIN,PM2.5,Good,9145,3.919358502372187
SPAIN,PM2.5,Fair,75820,32.494889190799256
SPAIN,PM2.5,Moderate,140984,60.42283642410502
SPAIN,PM2.5,Poor,6759,2.896768082835824
SPAIN,PM2.5,Very Poor,505,0.2164325908909737
SPAIN,PM2.5,Extremely Poor,116,0.049715208996738515
SWEDEN,PM10,Good,17517,28.32724214884052
SWEDEN,PM10,Fair,34067,55.090720915941645
SWEDEN,PM10,Moderate,8937,14.452278534234614
SWEDEN,PM10,Poor,954,1.5427407095960413
SWEDEN,PM10,Very Poor,232,0.37517384132733916
SWEDEN,PM10,Extremely Poor,131,0.21184385005983378
SWEDEN,PM2.5,Good,6610,32.85451563198966
SWEDEN,PM2.5,Fair,10788,53.62095531587057
SWEDEN,PM2.5,Moderate,2611,12.977782195934193
SWEDEN,PM2.5,Poor,109,0.5417764302400716
SWEDEN,PM2.5,Very Poor,1,0.004970425965505244
UK,PM10,Good,3173,25.28286852589641
UK,PM10,Fair,6552,52.20717131474104
UK,PM10,Moderate,2680,21.35458167330677
UK,PM10,Poor,132,1.051792828685259
UK,PM10,Very Poor,11,0.08764940239043825
UK,PM10,Extremely Poor,2,0.01593625498007968
UK,PM2.5,Good,1325,7.6044536271809005
UK,PM2.5,Fair,9283,53.27708907254362
UK,PM2.5,Moderate,6180,35.468319559228654
UK,PM2.5,Poor,573,3.2885674931129474
UK,PM2.5,Very Poor,61,0.35009182736455463
UK,PM2.5,Extremely Poor,2,0.01147842056932966
