country,pollutant_name,first_half_aqi,second_half_aqi,aqi_change,improvement
BELGIUM,PM2.5,2.8260373049105443,2.6216290969437144,-0.2044082079668299,Improving
CZECH,PM10,2.208179336666908,1.9655786519255154,-0.24260068474139262,Improving
CZECH,PM2.5,2.947790442630614,2.6241446094254357,-0.32364583320517815,Improving
GERMANY,PM10,2.173293679153674,1.9028707843573611,-0.27042289479631276,Improving
GERMANY,PM2.5,2.7331132108609366,2.434670551322277,-0.2984426595386598,Improving
ITALY,PM10,2.3740720108068167,2.2910179076343073,-0.08305410317250939,Stable
ITALY,PM2.5,2.9715615997856233,2.7878628927914506,-0.18369870699417268,Improving
POLAND,PM10,2.648288863444479,2.3456621852053776,-0.3026266782391014,Improving
POLAND,PM2.5,3.282472482132617,2.9563082119193886,-0.3261642702132286,Improving
SPAIN,PM10,2.192524688937217,2.116335131766674,-0.07618955717054332,Stable
SPAIN,PM2.5,2.6746407495082187,2.5857423890893374,-0.08889836041888133,Stable
SWEDEN,PM10,1.9107578300661874,1.9129572717358976,0.0021994416697102004,Stable
SWEDEN,PM2.5,1.885948389527218,1.7298179139037997,-0.1561304756234183,Improving
UK,PM10,1.9778105297633668,2.2462908011869436,0.2684802714235768,Worsening
UK,PM2.5,2.351834649326521,2.66,0.30816535067347894,Worsening
