country,pollutant_name,avg_excess_risk_pct
BELGIUM,PM2.5,0.6342082027912407
CZECH,PM10,-0.7284630561252933
CZECH,PM2.5,0.8248880233990142
GERMANY,PM10,-0.8150167460772196
GERMANY,PM2.5,0.5691454582315258
ITALY,PM10,-0.6145640635253057
ITALY,PM2.5,0.8517393593928341
POLAND,PM10,-0.48002774200497184
POLAND,PM2.5,1.0196163854785485
SPAIN,PM10,-0.7824641712054532
SPAIN,PM2.5,0.43239769031299824
SWEDEN,PM10,-0.6572229105670819
SWEDEN,PM2.5,0.4198626936170204
UK,PM10,-0.7208638294350486
UK,PM2.5,0.565879873572594
