country,pollutant_name,compliant_days,total_days,who_compliance_pct
BELGIUM,PM2.5,51,3286,1.55203895313451
CZECH,PM10,3100,4371,70.92198581560284
CZECH,PM2.5,1409,4371,32.235186456188515
GERMANY,PM10,4128,4629,89.17692806221646
GERMANY,PM2.5,2166,4628,46.80207433016422
ITALY,PM10,4619,4693,98.4231834647347
ITALY,PM2.5,3232,4693,68.86852759428936
POLAND,PM10,2696,4454,60.52986079928154
POLAND,PM2.5,649,4383,14.807209673739447
SPAIN,PM10,4098,4383,93.49760438056126
SPAIN,PM2.5,2713,4383,61.898243212411586
SWEDEN,PM10,3904,4693,83.1877264010228
SWEDEN,PM2.5,2990,4343,68.8464195256735
UK,PM10,1534,2552,60.10971786833855
UK,PM2.5,875,2545,34.3811394891945
